text,drug,effect,indexes
A case of recall pneumonitis induced by gemcitabine is reported.,gemcitabine,recall pneumonitis,"{'drug': {'start_char': [40], 'end_char': [51]}, 'effect': {'start_char': [10], 'end_char': [28]}}"
"After having received gemcitabine on day 1 of the second course, the patient developed dry cough, subfebrile temperatures and dyspnea within 48 h.",gemcitabine,dry cough,"{'drug': {'start_char': [22], 'end_char': [33]}, 'effect': {'start_char': [87], 'end_char': [96]}}"
"After having received gemcitabine on day 1 of the second course, the patient developed dry cough, subfebrile temperatures and dyspnea within 48 h.",gemcitabine,dyspnea,"{'drug': {'start_char': [22], 'end_char': [33]}, 'effect': {'start_char': [126], 'end_char': [133]}}"
"After having received gemcitabine on day 1 of the second course, the patient developed dry cough, subfebrile temperatures and dyspnea within 48 h.",gemcitabine,subfebrile temperatures,"{'drug': {'start_char': [22], 'end_char': [33]}, 'effect': {'start_char': [98], 'end_char': [121]}}"
CONCLUSION: Gemcitabine-induced recall pneumonitis is a rarely reported phenomenon and should be taken into account even after extended time interval to the previous radiotherapy.,Gemcitabine,recall pneumonitis,"{'drug': {'start_char': [12], 'end_char': [23]}, 'effect': {'start_char': [32], 'end_char': [50]}}"
Radiation recall pneumonitis induced by gemcitabine.,gemcitabine,Radiation recall pneumonitis,"{'drug': {'start_char': [40], 'end_char': [51]}, 'effect': {'start_char': [0], 'end_char': [28]}}"
"CONCLUSIONS: For all patients with vancomycin-induced neutropenia, possible cross-reactivity of teicoplanin should be monitored.",vancomycin,neutropenia,"{'drug': {'start_char': [35], 'end_char': [45]}, 'effect': {'start_char': [54], 'end_char': [65]}}"
"However, a new episode of neutropenia, with a WBC count of 2.8 x 10(3)/mm3 and ANC of 0.448 x 10(3)/mm3, occurred 11 days after teicoplanin initiation.",teicoplanin,neutropenia,"{'drug': {'start_char': [128], 'end_char': [139]}, 'effect': {'start_char': [26], 'end_char': [37]}}"
OBJECTIVE: To report teicoplanin-related neutropenia that developed after an episode of neutropenia induced by vancomycin therapy.,teicoplanin,neutropenia,"{'drug': {'start_char': [21], 'end_char': [32]}, 'effect': {'start_char': [41, 88], 'end_char': [52, 99]}}"
OBJECTIVE: To report teicoplanin-related neutropenia that developed after an episode of neutropenia induced by vancomycin therapy.,vancomycin,neutropenia,"{'drug': {'start_char': [111], 'end_char': [121]}, 'effect': {'start_char': [41, 88], 'end_char': [52, 99]}}"
Teicoplanin-induced agranulocytosis that followed vancomycin-induced agranulocytosis suggests a possible cross-reactivity between the 2 drugs.,Teicoplanin,agranulocytosis,"{'drug': {'start_char': [0], 'end_char': [11]}, 'effect': {'start_char': [20, 69], 'end_char': [35, 84]}}"
Teicoplanin-induced agranulocytosis that followed vancomycin-induced agranulocytosis suggests a possible cross-reactivity between the 2 drugs.,vancomycin,agranulocytosis,"{'drug': {'start_char': [50], 'end_char': [60]}, 'effect': {'start_char': [20, 69], 'end_char': [35, 84]}}"
Cutaneous ulceration: an unusual complication of intravenous pentamidine therapy.,pentamidine,Cutaneous ulceration,"{'drug': {'start_char': [61], 'end_char': [72]}, 'effect': {'start_char': [0], 'end_char': [20]}}"
This is a report of a renal transplant patient with Pneumocystis pneumonia who developed chemical cellulitis and ulceration following the extravasation of intravenous pentamidine into the soft tissues of the left hand and forearm.,pentamidine,chemical cellulitis,"{'drug': {'start_char': [167], 'end_char': [178]}, 'effect': {'start_char': [89], 'end_char': [108]}}"
This is a report of a renal transplant patient with Pneumocystis pneumonia who developed chemical cellulitis and ulceration following the extravasation of intravenous pentamidine into the soft tissues of the left hand and forearm.,pentamidine,ulceration,"{'drug': {'start_char': [167], 'end_char': [178]}, 'effect': {'start_char': [113], 'end_char': [123]}}"
OBSERVATIONS: A 48-year-old woman presented with disfiguring facial edema 10 weeks after she began antiviral therapy with peginterferon alfa-2a and ribavirin for chronic hepatitis C infection.,peginterferon alfa-2a,disfiguring facial edema,"{'drug': {'start_char': [122], 'end_char': [143]}, 'effect': {'start_char': [49], 'end_char': [73]}}"
OBSERVATIONS: A 48-year-old woman presented with disfiguring facial edema 10 weeks after she began antiviral therapy with peginterferon alfa-2a and ribavirin for chronic hepatitis C infection.,ribavirin,disfiguring facial edema,"{'drug': {'start_char': [148], 'end_char': [157]}, 'effect': {'start_char': [49], 'end_char': [73]}}"
Tumor-volume increase at beginning of primary treatment with topical interferon alpha 2-beta in a case of conjunctiva-cornea intraepithelial neoplasia.,interferon alpha 2-beta,Tumor-volume increase,"{'drug': {'start_char': [69], 'end_char': [92]}, 'effect': {'start_char': [0], 'end_char': [21]}}"
"Flecainide overdose can rapidly result in profound cardiovascular collapse, and is associated with a relatively high mortality.",Flecainide,cardiovascular collapse,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [51], 'end_char': [74]}}"
Managing cardiovascular collapse in severe flecainide overdose without recourse to extracorporeal therapy.,flecainide,cardiovascular collapse,"{'drug': {'start_char': [43], 'end_char': [53]}, 'effect': {'start_char': [9], 'end_char': [32]}}"
Ezetimibe-induced acute pancreatitis.,Ezetimibe,acute pancreatitis,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [18], 'end_char': [36]}}"
"Since its FDA approval in 2002, there are no known citations of ezetimibe-induced pancreatitis.",ezetimibe,pancreatitis,"{'drug': {'start_char': [64], 'end_char': [73]}, 'effect': {'start_char': [82], 'end_char': [94]}}"
Selective estrogen receptor modulator raloxifene-associated aggravation of nonalcoholic steatohepatitis.,raloxifene,aggravation of nonalcoholic steatohepatitis,"{'drug': {'start_char': [38], 'end_char': [48]}, 'effect': {'start_char': [60], 'end_char': [103]}}"
This is the first histologically confirmed case of NASH that was aggravated by raloxifene.,raloxifene,NASH,"{'drug': {'start_char': [79], 'end_char': [89]}, 'effect': {'start_char': [51], 'end_char': [55]}}"
A case of liver damage following treatment with Danazol for fibrocystic breast disease is reported.,Danazol,liver damage,"{'drug': {'start_char': [48], 'end_char': [55]}, 'effect': {'start_char': [10], 'end_char': [22]}}"
Hepatic damage after danazol treatment.,danazol,Hepatic damage,"{'drug': {'start_char': [21], 'end_char': [28]}, 'effect': {'start_char': [0], 'end_char': [14]}}"
Hypersensitivity pneumonitis-like syndrome associated with the use of lenalidomide.,lenalidomide,Hypersensitivity pneumonitis-like syndrome,"{'drug': {'start_char': [70], 'end_char': [82]}, 'effect': {'start_char': [0], 'end_char': [42]}}"
"In this report, we describe a patient receiving lenalidomide in whom dyspnea, fever, hypoxia, and diffuse pulmonary infiltrates developed.",lenalidomide,diffuse pulmonary infiltrates,"{'drug': {'start_char': [48], 'end_char': [60]}, 'effect': {'start_char': [98], 'end_char': [127]}}"
"In this report, we describe a patient receiving lenalidomide in whom dyspnea, fever, hypoxia, and diffuse pulmonary infiltrates developed.",lenalidomide,dyspnea,"{'drug': {'start_char': [48], 'end_char': [60]}, 'effect': {'start_char': [69], 'end_char': [76]}}"
"In this report, we describe a patient receiving lenalidomide in whom dyspnea, fever, hypoxia, and diffuse pulmonary infiltrates developed.",lenalidomide,fever,"{'drug': {'start_char': [48], 'end_char': [60]}, 'effect': {'start_char': [78], 'end_char': [83]}}"
"In this report, we describe a patient receiving lenalidomide in whom dyspnea, fever, hypoxia, and diffuse pulmonary infiltrates developed.",lenalidomide,hypoxia,"{'drug': {'start_char': [48], 'end_char': [60]}, 'effect': {'start_char': [85], 'end_char': [92]}}"
Physicians should be cognizant of this potential complication in patients receiving thalidomide or thalidomide-like drugs who present with fever and pulmonary infiltrates and fail to improve despite treatment with broad-spectrum antibiotics.,thalidomide,fever,"{'drug': {'start_char': [84, 99], 'end_char': [95, 110]}, 'effect': {'start_char': [139], 'end_char': [144]}}"
Physicians should be cognizant of this potential complication in patients receiving thalidomide or thalidomide-like drugs who present with fever and pulmonary infiltrates and fail to improve despite treatment with broad-spectrum antibiotics.,thalidomide,pulmonary infiltrates,"{'drug': {'start_char': [84, 99], 'end_char': [95, 110]}, 'effect': {'start_char': [149], 'end_char': [170]}}"
"Thus, the patient's clinical course and workup strongly support a diagnosis of lenalidomide-induced hypersensitivity pneumonitis-like syndrome.",lenalidomide,hypersensitivity pneumonitis-like syndrome,"{'drug': {'start_char': [79], 'end_char': [91]}, 'effect': {'start_char': [100], 'end_char': [142]}}"
Intravitreal triamcinolone may have had an influence on the exacerbation of retinochoroiditis in the posterior pole of the patient.,triamcinolone,exacerbation of retinochoroiditis,"{'drug': {'start_char': [13], 'end_char': [26]}, 'effect': {'start_char': [60], 'end_char': [93]}}"
"A 40-year-old man with advanced HIV infection and Mycobacterium avium complex infection experienced rapid cognitive decline after commencement of ethambutol, and symptoms fully resolved with cessation.",ethambutol,rapid cognitive decline,"{'drug': {'start_char': [146], 'end_char': [156]}, 'effect': {'start_char': [100], 'end_char': [123]}}"
Ethambutol toxicity manifesting as acute onset psychosis.,Ethambutol,acute onset psychosis,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [35], 'end_char': [56]}}"
Psoriasis induced by interferon-alpha.,interferon-alpha,Psoriasis,"{'drug': {'start_char': [21], 'end_char': [37]}, 'effect': {'start_char': [0], 'end_char': [9]}}"
"Recombinant human interferon-alpha has been used in the treatment of several cancers, but there have been several reports that it may exacerbate psoriasis or trigger off its onset.",Recombinant human interferon-alpha,exacerbate psoriasis or trigger off its onset,"{'drug': {'start_char': [0], 'end_char': [34]}, 'effect': {'start_char': [134], 'end_char': [179]}}"
"We report four patients, three of whom first developed psoriasis and one who had an aggravation of the condition during treatment with interferon-alpha.",interferon-alpha,psoriasis,"{'drug': {'start_char': [135], 'end_char': [151]}, 'effect': {'start_char': [55], 'end_char': [64]}}"
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,sulfamethoxazole,generalized erythema,"{'drug': {'start_char': [180], 'end_char': [196]}, 'effect': {'start_char': [122], 'end_char': [142]}}"
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,trimethoprim,generalized erythema,"{'drug': {'start_char': [197], 'end_char': [209]}, 'effect': {'start_char': [122], 'end_char': [142]}}"
INTRODUCTION: We describe the neurointensive care (NIC) management of a patient with severe cerebral swelling and raised intracranial pressure (ICP) after severe sodium valproic acid (VPA) intoxication.,sodium valproic acid,raised intracranial pressure,"{'drug': {'start_char': [162], 'end_char': [182]}, 'effect': {'start_char': [114], 'end_char': [142]}}"
INTRODUCTION: We describe the neurointensive care (NIC) management of a patient with severe cerebral swelling and raised intracranial pressure (ICP) after severe sodium valproic acid (VPA) intoxication.,VPA,raised intracranial pressure,"{'drug': {'start_char': [184], 'end_char': [187]}, 'effect': {'start_char': [114], 'end_char': [142]}}"
INTRODUCTION: We describe the neurointensive care (NIC) management of a patient with severe cerebral swelling and raised intracranial pressure (ICP) after severe sodium valproic acid (VPA) intoxication.,sodium valproic acid,severe cerebral swelling,"{'drug': {'start_char': [162], 'end_char': [182]}, 'effect': {'start_char': [85], 'end_char': [109]}}"
INTRODUCTION: We describe the neurointensive care (NIC) management of a patient with severe cerebral swelling and raised intracranial pressure (ICP) after severe sodium valproic acid (VPA) intoxication.,VPA,severe cerebral swelling,"{'drug': {'start_char': [184], 'end_char': [187]}, 'effect': {'start_char': [85], 'end_char': [109]}}"
Neurointensive care management of raised intracranial pressure caused by severe valproic acid intoxication.,valproic acid,raised intracranial pressure,"{'drug': {'start_char': [80], 'end_char': [93]}, 'effect': {'start_char': [34], 'end_char': [62]}}"
Bleomycin induced hyperpigmentation with yolk sac tumor.,Bleomycin,hyperpigmentation,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [18], 'end_char': [35]}}"
"The hyperpigmentation was diffuse scattered, flagellate like and linear streaking which was thought to be mainly related to the skin toxicity of bleomycin.",bleomycin,skin toxicity,"{'drug': {'start_char': [145], 'end_char': [154]}, 'effect': {'start_char': [128], 'end_char': [141]}}"
"We report a child with yolk sac tumor who developed localized pigmentation after the first course of chemotherapy regimen that included cisplatin, etoposide and bleomycin.",bleomycin,localized pigmentation,"{'drug': {'start_char': [161], 'end_char': [170]}, 'effect': {'start_char': [52], 'end_char': [74]}}"
"We report a child with yolk sac tumor who developed localized pigmentation after the first course of chemotherapy regimen that included cisplatin, etoposide and bleomycin.",cisplatin,localized pigmentation,"{'drug': {'start_char': [136], 'end_char': [145]}, 'effect': {'start_char': [52], 'end_char': [74]}}"
"We report a child with yolk sac tumor who developed localized pigmentation after the first course of chemotherapy regimen that included cisplatin, etoposide and bleomycin.",etoposide,localized pigmentation,"{'drug': {'start_char': [147], 'end_char': [156]}, 'effect': {'start_char': [52], 'end_char': [74]}}"
A cause-effect relationship to capecitabine was suggested due to resolution of headache with capecitabine withdrawal and reappearance with capecitabine rechallenge.,capecitabine,headache,"{'drug': {'start_char': [31, 93, 139], 'end_char': [43, 105, 151]}, 'effect': {'start_char': [79], 'end_char': [87]}}"
BACKGROUND: Headaches have been reported as a potential side effect of capecitabine therapy.,capecitabine,Headaches,"{'drug': {'start_char': [71], 'end_char': [83]}, 'effect': {'start_char': [12], 'end_char': [21]}}"
Capecitabine-induced headache responding to diltiazem.,Capecitabine,headache,"{'drug': {'start_char': [0], 'end_char': [12]}, 'effect': {'start_char': [21], 'end_char': [29]}}"
CCBs should be considered in the treatment of 5-FU or capecitabine-induced headaches.,5-FU,headaches,"{'drug': {'start_char': [46], 'end_char': [50]}, 'effect': {'start_char': [75], 'end_char': [84]}}"
CCBs should be considered in the treatment of 5-FU or capecitabine-induced headaches.,capecitabine,headaches,"{'drug': {'start_char': [54], 'end_char': [66]}, 'effect': {'start_char': [75], 'end_char': [84]}}"
The patient developed grade 3 capecitabine-induced headache.,capecitabine,headache,"{'drug': {'start_char': [30], 'end_char': [42]}, 'effect': {'start_char': [51], 'end_char': [59]}}"
We hypothesize that capecitabine-induced headache is vascular in nature.,capecitabine,headache,"{'drug': {'start_char': [20], 'end_char': [32]}, 'effect': {'start_char': [41], 'end_char': [49]}}"
Brugada type electrocardiographic changes induced by concomitant use of lithium and propafenone in patient with Wolff-Parkinson-White syndrome.,lithium,Brugada type electrocardiographic changes,"{'drug': {'start_char': [72], 'end_char': [79]}, 'effect': {'start_char': [0], 'end_char': [41]}}"
Brugada type electrocardiographic changes induced by concomitant use of lithium and propafenone in patient with Wolff-Parkinson-White syndrome.,propafenone,Brugada type electrocardiographic changes,"{'drug': {'start_char': [84], 'end_char': [95]}, 'effect': {'start_char': [0], 'end_char': [41]}}"
We report a case of ST elevation in right precordial leads compatible with type 1 Brugada syndrome following administration of propafenone in a patient with Wolff-Parkinson-White syndrome who was receiving lithium at concentrations within therapeutic levels.,propafenone,ST elevation in right precordial leads,"{'drug': {'start_char': [127], 'end_char': [138]}, 'effect': {'start_char': [20], 'end_char': [58]}}"
We report a case of ST elevation in right precordial leads compatible with type 1 Brugada syndrome following administration of propafenone in a patient with Wolff-Parkinson-White syndrome who was receiving lithium at concentrations within therapeutic levels.,propafenone,type 1 Brugada syndrome,"{'drug': {'start_char': [127], 'end_char': [138]}, 'effect': {'start_char': [75], 'end_char': [98]}}"
"We postulate that gastritis caused by dexamethasone, mucositis caused by doxorubicin, and the unique anatomic nature of a Meckel diverticulum may have contributed to this extremely unlikely and previously unreported event.",dexamethasone,gastritis,"{'drug': {'start_char': [38], 'end_char': [51]}, 'effect': {'start_char': [18], 'end_char': [27]}}"
"We postulate that gastritis caused by dexamethasone, mucositis caused by doxorubicin, and the unique anatomic nature of a Meckel diverticulum may have contributed to this extremely unlikely and previously unreported event.",doxorubicin,mucositis,"{'drug': {'start_char': [73], 'end_char': [84]}, 'effect': {'start_char': [53], 'end_char': [62]}}"
Bortezomib-induced paralytic ileus is a potential gastrointestinal side effect of this first-in-class anticancer proteasome inhibitor.,Bortezomib,gastrointestinal side effect,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [50], 'end_char': [78]}}"
Bortezomib-induced paralytic ileus is a potential gastrointestinal side effect of this first-in-class anticancer proteasome inhibitor.,Bortezomib,paralytic ileus,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [19], 'end_char': [34]}}"
"Paralytic ileus in patients undergoing bortezomib treatment has been reported, although a definite attribution to bortezomib administration has not been established.",bortezomib,Paralytic ileus,"{'drug': {'start_char': [39, 114], 'end_char': [49, 124]}, 'effect': {'start_char': [0], 'end_char': [15]}}"
"We report a myeloma patient who developed severe paralytic ileus during bortezomib therapy, which presented in the context of progressive constipation without other known causes and which regressed promptly with medical management after drug cessation, suggesting a direct causal relationship.",bortezomib,severe paralytic ileus,"{'drug': {'start_char': [72], 'end_char': [82]}, 'effect': {'start_char': [42], 'end_char': [64]}}"
A woman developed delusional parasitosis when taking phenelzine.,phenelzine,delusional parasitosis,"{'drug': {'start_char': [53], 'end_char': [63]}, 'effect': {'start_char': [18], 'end_char': [40]}}"
Delusional parasitosis associated with phenelzine.,phenelzine,Delusional parasitosis,"{'drug': {'start_char': [39], 'end_char': [49]}, 'effect': {'start_char': [0], 'end_char': [22]}}"
Interstitial pneumonitis and alveolar hemorrhage complicating use of rituximab: case report and review of the literature.,rituximab,alveolar hemorrhage,"{'drug': {'start_char': [69], 'end_char': [78]}, 'effect': {'start_char': [29], 'end_char': [48]}}"
Interstitial pneumonitis and alveolar hemorrhage complicating use of rituximab: case report and review of the literature.,rituximab,Interstitial pneumonitis,"{'drug': {'start_char': [69], 'end_char': [78]}, 'effect': {'start_char': [0], 'end_char': [24]}}"
The use of rituximab has been uncommonly associated with delayed pulmonary toxicity.,rituximab,delayed pulmonary toxicity,"{'drug': {'start_char': [11], 'end_char': [20]}, 'effect': {'start_char': [57], 'end_char': [83]}}"
Fulminant metoclopramide induced neuroleptic malignant syndrome rapidly responsive to intravenous dantrolene.,metoclopramide,neuroleptic malignant syndrome,"{'drug': {'start_char': [10], 'end_char': [24]}, 'effect': {'start_char': [33], 'end_char': [63]}}"
We report a case of fulminant neuroleptic malignant syndrome in a man aged 70 developing within 12 hours of starting six-hourly intravenous metoclopramide.,metoclopramide,neuroleptic malignant syndrome,"{'drug': {'start_char': [140], 'end_char': [154]}, 'effect': {'start_char': [30], 'end_char': [60]}}"
The clinical symptoms of gastric mucosa foveolar hyperplasia due to long-term PGE1 therapy simulate hypertrophic pyloric stenosis.,PGE1,gastric mucosa foveolar hyperplasia,"{'drug': {'start_char': [78], 'end_char': [82]}, 'effect': {'start_char': [25], 'end_char': [60]}}"
The results of the ultrasound examination combined with clinical anamnesis allowed diagnosis of gastric mucosa foveolar hyperplasia due to prolonged PGE1 therapy.,PGE1,gastric mucosa foveolar hyperplasia,"{'drug': {'start_char': [149], 'end_char': [153]}, 'effect': {'start_char': [96], 'end_char': [131]}}"
"A 79-year-old man with ischemic heart disease, chronic atrial fibrillation, chronic renal failure, hypothyroidism, and gout arthritis was hospitalized because of fatigue, myalgia, and leg weakness, shortly after starting treatment with colchicine.",colchicine,fatigue,"{'drug': {'start_char': [236], 'end_char': [246]}, 'effect': {'start_char': [162], 'end_char': [169]}}"
"A 79-year-old man with ischemic heart disease, chronic atrial fibrillation, chronic renal failure, hypothyroidism, and gout arthritis was hospitalized because of fatigue, myalgia, and leg weakness, shortly after starting treatment with colchicine.",colchicine,leg weakness,"{'drug': {'start_char': [236], 'end_char': [246]}, 'effect': {'start_char': [184], 'end_char': [196]}}"
"A 79-year-old man with ischemic heart disease, chronic atrial fibrillation, chronic renal failure, hypothyroidism, and gout arthritis was hospitalized because of fatigue, myalgia, and leg weakness, shortly after starting treatment with colchicine.",colchicine,myalgia,"{'drug': {'start_char': [236], 'end_char': [246]}, 'effect': {'start_char': [171], 'end_char': [178]}}"
A case of colchicine-induced rhabdomyolysis is reported.,colchicine,rhabdomyolysis,"{'drug': {'start_char': [10], 'end_char': [20]}, 'effect': {'start_char': [29], 'end_char': [43]}}"
"Colchicine-induced rhabdomyolysis is a rare complication, and the postulated mechanisms and risk factors for this severe complication are discussed.",Colchicine,rhabdomyolysis,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [19], 'end_char': [33]}}"
Colchicine-induced rhabdomyolysis.,Colchicine,rhabdomyolysis,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [19], 'end_char': [33]}}"
"Investigation confirmed the diagnosis of rhabdomyolysis, and discontinuation of colchicine resulted in resolution of clinical and biochemical features of rhabdomylysis.",colchicine,rhabdomylysis,"{'drug': {'start_char': [80], 'end_char': [90]}, 'effect': {'start_char': [154], 'end_char': [167]}}"
5-Fluorouracil cardiotoxicity complicating treatment of stage IIB cervical cancer--case report.,5-Fluorouracil,cardiotoxicity,"{'drug': {'start_char': [0], 'end_char': [14]}, 'effect': {'start_char': [15], 'end_char': [29]}}"
CONCLUSION: Acetic acid is corrosive and may cause vagina bleeding.,Acetic acid,vagina bleeding,"{'drug': {'start_char': [12], 'end_char': [23]}, 'effect': {'start_char': [51], 'end_char': [66]}}"
Induction of systemic lupus erythematosus by interferon-gamma in a patient with rheumatoid arthritis.,interferon-gamma,systemic lupus erythematosus,"{'drug': {'start_char': [45], 'end_char': [61]}, 'effect': {'start_char': [13], 'end_char': [41]}}"
The development of systemic lupus erythematosus (SLE) after 38 months of therapy with recombinant human interferon gamma (rIFN-gamma) was observed in a patient with rheumatoid arthritis.,recombinant human interferon gamma,SLE,"{'drug': {'start_char': [86], 'end_char': [120]}, 'effect': {'start_char': [49], 'end_char': [52]}}"
The development of systemic lupus erythematosus (SLE) after 38 months of therapy with recombinant human interferon gamma (rIFN-gamma) was observed in a patient with rheumatoid arthritis.,rIFN-gamma,SLE,"{'drug': {'start_char': [122], 'end_char': [132]}, 'effect': {'start_char': [49], 'end_char': [52]}}"
The development of systemic lupus erythematosus (SLE) after 38 months of therapy with recombinant human interferon gamma (rIFN-gamma) was observed in a patient with rheumatoid arthritis.,recombinant human interferon gamma,systemic lupus erythematosus,"{'drug': {'start_char': [86], 'end_char': [120]}, 'effect': {'start_char': [19], 'end_char': [47]}}"
The development of systemic lupus erythematosus (SLE) after 38 months of therapy with recombinant human interferon gamma (rIFN-gamma) was observed in a patient with rheumatoid arthritis.,rIFN-gamma,systemic lupus erythematosus,"{'drug': {'start_char': [122], 'end_char': [132]}, 'effect': {'start_char': [19], 'end_char': [47]}}"
We assume that rIFN-gamma induced the de novo development of SLE in our patient.,rIFN-gamma,SLE,"{'drug': {'start_char': [15], 'end_char': [25]}, 'effect': {'start_char': [61], 'end_char': [64]}}"
Bisphosphonate induced osteochemonecrosis of the jaw mimicking a tumour.,Bisphosphonate,osteochemonecrosis of the jaw,"{'drug': {'start_char': [0], 'end_char': [14]}, 'effect': {'start_char': [23], 'end_char': [52]}}"
Clozapine-induced eosinophilia and switch to quetiapine in a patient with chronic schizophrenia with suicidal tendencies.,Clozapine,eosinophilia,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [18], 'end_char': [30]}}"
Drug-induced eosinophilia is a non-dose-dependent side effect of clozapine.,clozapine,eosinophilia,"{'drug': {'start_char': [65], 'end_char': [74]}, 'effect': {'start_char': [13], 'end_char': [25]}}"
"Occasionally, despite good therapeutic response, clozapine must be stopped due to dangerous side effects such as agranulocytosis.",clozapine,agranulocytosis,"{'drug': {'start_char': [49], 'end_char': [58]}, 'effect': {'start_char': [113], 'end_char': [128]}}"
Metformin-associated lactic acidosis (MALA) is a serious metabolic complication that occurs because of metformin accumulation in patients who become dehydrated or developed acute renal failure.,metformin,lactic acidosis,"{'drug': {'start_char': [103], 'end_char': [112]}, 'effect': {'start_char': [21], 'end_char': [36]}}"
Metformin-associated lactic acidosis (MALA) is a serious metabolic complication that occurs because of metformin accumulation in patients who become dehydrated or developed acute renal failure.,Metformin,lactic acidosis,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [21], 'end_char': [36]}}"
Metformin-associated lactic acidosis precipitated by diarrhea.,Metformin,lactic acidosis,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [21], 'end_char': [36]}}"
An apparent link is described between the use of MMF with prednisone to treat pemphigus vulgaris and the development of red blood cell anemia.,MMF,red blood cell anemia,"{'drug': {'start_char': [49], 'end_char': [52]}, 'effect': {'start_char': [120], 'end_char': [141]}}"
An apparent link is described between the use of MMF with prednisone to treat pemphigus vulgaris and the development of red blood cell anemia.,prednisone,red blood cell anemia,"{'drug': {'start_char': [58], 'end_char': [68]}, 'effect': {'start_char': [120], 'end_char': [141]}}"
Red blood cell anemia in a patient with pemphigus vulgaris induced by the use of mycophenolate mofetil and prednisone.,mycophenolate mofetil,Red blood cell anemia,"{'drug': {'start_char': [81], 'end_char': [102]}, 'effect': {'start_char': [0], 'end_char': [21]}}"
Red blood cell anemia in a patient with pemphigus vulgaris induced by the use of mycophenolate mofetil and prednisone.,prednisone,Red blood cell anemia,"{'drug': {'start_char': [107], 'end_char': [117]}, 'effect': {'start_char': [0], 'end_char': [21]}}"
The dermatology literature heretofore has not noted that anemia is a side effect of patients taking MMF to treat pemphigus.,MMF,anemia,"{'drug': {'start_char': [100], 'end_char': [103]}, 'effect': {'start_char': [57], 'end_char': [63]}}"
"This report suggests that anemia can occur due to MMF, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of MMF, cyclosporine and prednisone is used.",cyclosporine,anemia,"{'drug': {'start_char': [203], 'end_char': [215]}, 'effect': {'start_char': [26], 'end_char': [32]}}"
"This report suggests that anemia can occur due to MMF, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of MMF, cyclosporine and prednisone is used.",MMF,anemia,"{'drug': {'start_char': [50, 198], 'end_char': [53, 201]}, 'effect': {'start_char': [26], 'end_char': [32]}}"
"This report suggests that anemia can occur due to MMF, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of MMF, cyclosporine and prednisone is used.",MMF,anemia,"{'drug': {'start_char': [50, 198], 'end_char': [53, 201]}, 'effect': {'start_char': [26], 'end_char': [32]}}"
"This report suggests that anemia can occur due to MMF, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of MMF, cyclosporine and prednisone is used.",prednisone,anemia,"{'drug': {'start_char': [91, 220], 'end_char': [101, 230]}, 'effect': {'start_char': [26], 'end_char': [32]}}"
"This report suggests that anemia can occur due to MMF, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of MMF, cyclosporine and prednisone is used.",prednisone,anemia,"{'drug': {'start_char': [91, 220], 'end_char': [101, 230]}, 'effect': {'start_char': [26], 'end_char': [32]}}"
A search of the United States Food and Drug Administration's Adverse Event Reporting System identified nine cases of oxcarbazepine-associated angioedema in pediatric patients aged 16 years and younger.,oxcarbazepine,angioedema,"{'drug': {'start_char': [117], 'end_char': [130]}, 'effect': {'start_char': [142], 'end_char': [152]}}"
Clinical profile of oxcarbazepine-related angioneurotic edema: case report and review.,oxcarbazepine,angioneurotic edema,"{'drug': {'start_char': [20], 'end_char': [33]}, 'effect': {'start_char': [42], 'end_char': [61]}}"
"Oxcarbazepine-associated angioedema manifested by swelling of the face, eyes, lips, or tongue or difficulty swallowing or breathing (or both) is a rare but potentially life-threatening reaction for which early recognition and management are vital.",Oxcarbazepine,angioedema,"{'drug': {'start_char': [0], 'end_char': [13]}, 'effect': {'start_char': [25], 'end_char': [35]}}"
"We describe in detail the first U.S. case report, of a 4(1/2)-year-old boy who experienced angioedema during treatment with oxcarbazepine.",oxcarbazepine,angioedema,"{'drug': {'start_char': [124], 'end_char': [137]}, 'effect': {'start_char': [91], 'end_char': [101]}}"
